Grupo	Código	Parroquia Base	Región	Código	Provincia	Código	Cantón	Código	Parroquia
94			Sierra	04	Carchi	0402	Bolivar	040254	San Vicente de Pusir
95			AmazonÝa	21	Sucumbios	2105	Sucumbios	210550	La Bonita
95			AmazonÝa	21	Sucumbios	2105	Sucumbios	210552	La SofÝa
95									
96			Sierra	04	Carchi	0405	Montufar	040552	Chitan De Navarrete
96			Sierra	04	Carchi	0405	Montufar	040550	San Gabriel
96			Sierra	04	Carchi	0405	Montufar	040551	Cristobal Col¾n
96			AmazonÝa	21	Sucumbios	2105	Sucumbios	210551	El Playon de San Francisco
96			Sierra	04	Carchi	0406	San Pedro De Huaca	040651	Mariscal Sucre
96			Sierra	04	Carchi	0405	Montufar	040553	Fernandez Salvador
96			Sierra	04	Carchi	0405	Montufar	040555	Piartal
97			Sierra	10	Imbabura	1001	Ibarra	100153	Carolina
97			Sierra	10	Imbabura	1006	Urcuqui	100652	La Merced De Buenos Aires
97			Sierra	10	Imbabura	1006	Urcuqui	100651	Cahuasqui
97			Sierra	10	Imbabura	1006	Urcuqui	100653	Pablo Arenas
98			Sierra	04	Carchi	0402	Bolivar	040250	BolÝvar
98			Sierra	04	Carchi	0402	Bolivar	040251	Garcia Moreno
98			Sierra	04	Carchi	0402	Bolivar	040252	Los Andes
98			Sierra	04	Carchi	0402	Bolivar	040254	San Vicente de Pusir
99	080453	Malimpia	Costa	08	Esmeraldas	0804	Quininde	080453	Malimpia
100			Costa	08	Esmeraldas	0805	San Lorenzo	080551	Alto Tambo (cab. en Guadual)
100			Costa	08	Esmeraldas	0802	Eloy Alfaro	080255	Luis Vargas Torres (cab. en Playa de Oro)
100			Sierra	10	Imbabura	1003	Cotacachi	100357	6 de Julio de Cuellaje (cab. en Cuellaje)
101			Sierra	10	Imbabura	1001	Ibarra	100153	Carolina
101			Sierra	04	Carchi	0404	Mira	040450	Mira (Chontahuasi)
101			Sierra	04	Carchi	0404	Mira	040453	Juan Montalvo (San Ignacio de Quil)
101			Sierra	10	Imbabura	1001	Ibarra	100156	Salinas
101			Sierra	10	Imbabura	1006	Urcuqui	100653	Pablo Arenas
101			Sierra	10	Imbabura	1001	Ibarra	100150	Ibarra
101			Sierra	10	Imbabura	1006	Urcuqui	100655	Tumbabiro
101			Sierra	10	Imbabura	1001	Ibarra	100151	Ambuqui
101			Sierra	10	Imbabura	1006	Urcuqui	100650	Urcuqui
102			Sierra	04	Carchi	0404	Mira	040450	Mira (Chontahuasi)
102			Sierra	04	Carchi	0402	Bolivar	040251	Garcia Moreno
102			Sierra	04	Carchi	0402	Bolivar	040252	Los Andes
102			Sierra	04	Carchi	0402	Bolivar	040254	San Vicente de Pusir
102			Sierra	10	Imbabura	1001	Ibarra	100150	Ibarra
102			Sierra	10	Imbabura	1001	Ibarra	100151	Ambuqui
